timestamp,AMZN_price,GOOGL_price,HPQ_price,IBM_price,QCOM_price,AMZN_volume,GOOGL_volume,HPQ_volume,IBM_volume,QCOM_volume
2023-10-23,125.93000030517578,135.80500030517578,25.949999809265137,136.77499389648438,109.125,48260000,26317900,4582700,3457500,6679200
2023-10-24,127.56999969482422,138.38999938964844,26.09000015258789,137.01499938964844,109.38500213623044,46477400,44814300,6426700,3698000,8578600
2023-10-25,123.56499862670898,126.68999862670898,26.07999992370606,137.41000366210938,106.86000061035156,74577500,84366200,4249700,6472500,8571600
2023-10-26,119.99499893188477,122.79999923706056,26.11000061035156,142.99500274658203,105.4000015258789,100419500,57061100,9205800,11130200,8705200
2023-10-27,127.77000045776369,121.7599983215332,25.980000495910645,143.2050018310547,106.86499786376952,125309300,44566500,5463900,5469200,7292000
2023-10-30,130.77999877929688,124.07500076293944,26.114999771118164,143.54000091552734,107.75500106811523,72485500,28940100,5454700,4204100,6634000
2023-10-31,132.64000701904297,124.03000259399414,26.179999351501465,143.67499542236328,107.95000076293944,51589400,26292300,8402700,6591800,6485500
2023-11-01,135.5300064086914,125.10499954223631,26.40499973297119,145.47999572753906,109.94499969482422,61529400,30082400,5966500,4750100,12809900
2023-11-02,137.63999938964844,127.95499801635742,26.835000038146973,145.97000122070312,116.76499938964844,52236700,27124600,5276000,3902700,22106100
2023-11-03,138.47000122070312,128.69499969482422,27.25,147.86499786376953,118.72999954223631,44007200,26380100,4653800,3510100,10667600
2023-11-06,139.5449981689453,129.50499725341797,27.40999984741211,148.54000091552734,119.46999740600586,44970400,19052700,5944300,4597200,7756400
2023-11-07,141.93499755859375,130.89500427246094,27.45499992370605,148.65499877929688,120.125,53553500,29757300,6699300,3549900,7898400
2023-11-08,142.1699981689453,131.49500274658203,27.28499984741211,148.63499450683594,120.60499954223631,44521700,26425800,5493400,3618600,7681900
2023-11-09,141.2449951171875,131.31000518798828,27.19499969482422,146.13500213623047,121.13999938964844,36235400,23747800,6569400,3412700,9002700
2023-11-10,141.77999877929688,131.1050033569336,27.325000762939453,148.01000213623047,122.88999938964844,49287800,26913300,10387200,3179000,12191600
2023-11-13,141.9499969482422,131.9199981689453,27.80500030517578,147.92000579833984,123.59000015258788,35680600,18324800,8606000,2647200,7959200
2023-11-14,145.9699935913086,134.51000213623047,28.34000015258789,149.93000030517578,127.1500015258789,56674600,32395200,7056100,4321900,11255400
2023-11-15,144.93999481201172,134.3000030517578,28.5600004196167,151.80999755859375,128.6449966430664,63875700,23861500,8460900,4632500,7789100
2023-11-16,141.42000579833984,135.77000427246094,28.26000022888184,152.74000549316406,129.33999633789062,49653500,28013200,8823200,3519200,11655700
2023-11-17,143.88499450683594,134.85499572753906,28.24499988555908,152.9800033569336,129.10499572753906,49636700,37240600,7957400,4426500,6543300
2023-11-20,145.68000030517578,135.13999938964844,28.05500030517578,153.51499938964844,129.56999969482422,41951200,27815500,8484000,3658500,7148600
2023-11-21,142.7750015258789,136.56999969482422,27.88500022888184,154.08499908447266,126.61000061035156,71226000,22635300,12903100,2859500,14641800
2023-11-22,146.1550064086914,138.44499969482422,28.59000015258789,154.93500518798828,128.33499908447266,45669100,17813900,15778600,3044700,6647400
2023-11-24,146.26000213623047,137.06000518798828,28.63500022888184,154.65999603271484,127.8949966430664,22378400,12514300,4762100,1799200,3708200
2023-11-27,148.06999969482422,137.20999908447266,28.46500015258789,155.44499969482422,127.90500259399414,53762400,23436500,7704900,4053100,8586400
2023-11-28,146.56500244140625,136.33499908447266,28.5,155.30500030517578,126.48999786376956,42711700,18730000,5762100,2666200,8817900
2023-11-29,147.25499725341797,136.56499481201172,29.085000038146973,156.76499938964844,129.11000442504883,40610900,23967200,7267100,3568900,10608300
2023-11-30,145.62999725341797,133.41500091552734,29.199999809265137,157.74500274658203,128.44499588012695,65814000,38988300,12883100,6740600,11731800
2023-12-01,146.4000015258789,131.38999938964844,29.0649995803833,159.2949981689453,129.38999938964844,39924600,31431200,9598400,4871000,8861400
